villagecode,districtid,district,subcountyid,subcounty,parishid,parish,villageid,village
181010101,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,01,BUGODI A
181010102,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,02,BUGODI B
181010103,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,03,MUSITA B
181010104,181,MAYUGE,01,BAITAMBOGWE,01,BUGODI,04,NAWANGIRI
181010201,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,01,BUTE 'A'
181010202,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,02,BUTE 'B'
181010203,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,03,NALWESAMBULA A
181010204,181,MAYUGE,01,BAITAMBOGWE,02,BUTTE,04,NALWESAMBULA B
181010301,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,01,IGEYERO A
181010302,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,02,IGEYERO B
181010303,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,03,MUKUTA
181010304,181,MAYUGE,01,BAITAMBOGWE,03,IGEYERO,04,WAGONA
181010401,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,01,BUWANGA 'A'
181010402,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,02,BUWANGA 'B'
181010403,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,03,KATONTE
181010404,181,MAYUGE,01,BAITAMBOGWE,04,KATONTE,04,NAMAGERA
181010501,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,01,BAITAMBOGWE
181010502,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,02,LUGOLOLE B
181010503,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,03,LUGULOLE A
181010504,181,MAYUGE,01,BAITAMBOGWE,05,LUGOLOLE,04,MBIRIZI
181010601,181,MAYUGE,01,BAITAMBOGWE,06,LUKONE,01,LUKONE
181010602,181,MAYUGE,01,BAITAMBOGWE,06,LUKONE,02,MAGAMAGA
181010603,181,MAYUGE,01,BAITAMBOGWE,06,LUKONE,03,NSINDA
181010701,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,01,BUBABWE
181010702,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,02,IZINGA
181010703,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,03,MULINGIRIRE
181010704,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,04,MUSITA A
181010705,181,MAYUGE,01,BAITAMBOGWE,07,MULINGILIRE,05,NAMUSENWA
181010801,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,01,NABALONGO A
181010802,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,02,NABALONGO B
181010803,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,03,WAINHA 'A'
181010804,181,MAYUGE,01,BAITAMBOGWE,08,WAINHA,04,WAINHA 'B'
181020101,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,01,BUGADDE A
181020102,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,02,BUGADDE B
181020103,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,03,BUGADDE C
181020104,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,04,BUGADDE EAST
181020105,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,05,BUGADDE NORTH
181020106,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,06,BUGADDE WEST
181020107,181,MAYUGE,02,BUGADDE TOWN COUNCIL,01,BUGADE WARD,07,BUGOYA
181020201,181,MAYUGE,02,BUGADDE TOWN COUNCIL,02,BUSENDA WARD,01,BUSENDA A
